url,title,keywords
https://www.infosys.com/industries/aerospace-defense.html,Aerospace and Defense Industry Consulting Solutions | Infosys,"aerospace and defense industry, aerospace and defense industry overview, aerospace and defense"
https://www.infosys.com/industries/agriculture.html,Digital Farming and Agriculture IT Solutions | Infosys,"digital farming solutions, agriculture it solutions"
https://www.infosys.com/industries/automotive.html,Automotive IT Solutions and Consulting | Infosys,automotive it solutions
https://www.infosys.com/industries/chemical-manufacturing.html,Chemical Manufacturing Consulting Services | Infosys,"Chemical, Manufacturing, Production, Digital, Circular Economy"
https://www.infosys.com/industries/communication-services.html,Communication Industry Technology Solutions & Services | Infosys,"communication technology solutions, communication technology services"
https://www.infosys.com/industries/consumer-packaged-goods.html,Consumer Packaged Goods (CPG) Consulting | Infosys,"consumer packaged goods consulting, cpg solutions, cpg consulting"
https://www.infosys.com/industries/education.html,Infosys - Education,"Education, Learning, Technology, K-12, higher education "
https://www.infosys.com/industries/engineering-procurement-construction.html,"Infosys - Engineering, Procurement and Construction Consulting Services",No keywords
https://www.infosys.com/industries/financial-services.html,Financial Services Technology Consulting Solutions | Infosys,"Digital, transformation, technology, services, bank, asset, wealth, mortgage, loan, platform, change, speed, agile, financial services"
https://www.infosys.com/industries/healthcare.html,Healthcare IT Consulting Services and Solutions | Infosys,"healthcare it consulting, healthcare, healthcare ecosystem
"
https://www.infosys.com/industries/high-technology.html,High Technology Solutions to Navigate Digital Transformation | Infosys,high technology solutions
https://www.infosys.com/industries/industrial-manufacturing.html,Industrial Manufacturing Consulting Services & Solutions | Infosys,manufacturing consulting services
https://www.infosys.com/industries/publishing.html,Digital Publishing Solutions to Navigate Content Landscape | Infosys,digital publishing solutions
https://www.infosys.com/industries/insurance.html,Insurance Industry Business Technology Consulting Solutions | Infosys,"insurance technology consulting, insurance business solutions, insurance industry consulting"
https://www.infosys.com/industries/life-sciences.html,IT Services and Solutions for the Life Sciences Industry | Infosys,solutions for life sciences
https://www.infosys.com/industries/logistics-distribution.html,Logistics & Distribution - Infosys,"logistics consulting services, logistics distribution consulting"
https://www.infosys.com/industries/media-entertainment.html, Media and Entertainment Consulting Services | Infosys,"Media, Entertainment, Content, OTT"
https://www.infosys.com/industries/mining.html,Mining Industry - Information Technology Services & Systems | Infosys,"information technology in mining industry, innovation in mining industry
"
https://www.infosys.com/industries/oil-and-gas.html,Oil and Gas Technology Consulting Services | Infosys,oil and gas consulting services
https://www.infosys.com/industries/private-equity.html,Value Creation for the Private Equity Industry | Infosys,No keywords
https://www.infosys.com/industries/professional-services.html,Professional Services - Industry Solutions That Drive Value | Infosys,No keywords
https://www.infosys.com/industries/public-sector.html,Public Sector IT Services - Overview | Infosys,"public sector it services, public sector services
"
https://www.infosys.com/industries/retail.html,Retail Technology Consulting Services & Solutions | Infosys,No keywords
https://www.infosys.com/industries/travel-hospitality.html,Digital Travel and Hospitality Technology Solutions | Infosys,"digital travel solutions, travel technology solutions, hospitality technology solutions"
https://www.infosys.com/industries/utilities.html,Utilities IT Consulting Services and Solutions | Infosys,utilities it consulting
https://www.infosys.com/industries/waste-management.html,Waste Management Consulting Services | Infosys,"Waste Management, Digital, solutions, Circular economy"
https://www.infosys.com/industries/#tennismenu,Business Consulting Services & Technology Services Offered at Infosys,"technology services, business consulting services"
https://www.infosys.com/industries/aerospace-defense.html,Aerospace and Defense Industry Consulting Solutions | Infosys,"aerospace and defense industry, aerospace and defense industry overview, aerospace and defense"
https://www.infosys.com/industries/agriculture.html,Digital Farming and Agriculture IT Solutions | Infosys,"digital farming solutions, agriculture it solutions"
https://www.infosys.com/industries/automotive.html,Automotive IT Solutions and Consulting | Infosys,automotive it solutions
https://www.infosys.com/industries/chemical-manufacturing.html,Chemical Manufacturing Consulting Services | Infosys,"Chemical, Manufacturing, Production, Digital, Circular Economy"
https://www.infosys.com/industries/communication-services.html,Communication Industry Technology Solutions & Services | Infosys,"communication technology solutions, communication technology services"
https://www.infosys.com/industries/consumer-packaged-goods.html,Consumer Packaged Goods (CPG) Consulting | Infosys,"consumer packaged goods consulting, cpg solutions, cpg consulting"
https://www.infosys.com/industries/education.html,Infosys - Education,"Education, Learning, Technology, K-12, higher education "
https://www.infosys.com/industries/engineering-procurement-construction.html,"Infosys - Engineering, Procurement and Construction Consulting Services",No keywords
